CARNET;ID_CIUDAD;NOMBRE;APELLIDO;CEDULA;RIF;TELEFONO;FAX;DIRECCION;COD_SUCURSAL
PNR-532437;17;Maile;Wilcox;I-65223684;RIu-9623345-6;183-8215;1-334-354-1453;Apdo.:306-4791 Amet C.;16
PLR-371697;2;Lionel;Mcguire;O-81589725;RIu-1977482-8;540-5129;1-883-623-1792;493-5478 Nonummy Carretera;14
PGR-798426;3;Bethany;Barrett;E-82634334;RIe-2476153-3;608-0577;115-0108;6428 Auctor C/;12
PQR-634894;19;Eric;Callahan;U-61979429;RIA-3736591-3;686-2182;346-9704;3781 Neque ;4
PBR-774291;5;Beau;Grimes;E-83758872;RIE-5533738-3;1-228-830-4523;566-5798;314-962 Nunc ;10
PPR-592722;2;Eaton;Burgess;O-66471495;RIi-9156167-7;1-935-761-7110;1-228-592-9800;8416 Egestas C/;5
PQR-937519;2;Kyra;Singleton;U-74945917;RIu-4469279-1;1-229-825-6125;241-9684;Apartado núm.: 570, 9988 Quis Av.;5
PQR-734947;15;Xenos;Nash;O-73229646;RIu-1658359-8;169-7634;1-560-549-7660;Apartado núm.: 491, 304 Neque Carretera;14
PWR-339963;7;Emerson;Kerr;U-63668348;RIa-6747284-6;1-698-152-9182;1-308-796-4378;Apartado núm.: 253, 1457 Rutrum C/;18
PCR-634256;19;Pamela;Good;O-54346778;RIu-4863342-9;1-942-475-3713;1-338-659-9664;795-4136 Nullam Avda.;2
PZR-993877;19;Prescott;William;E-78112178;RIu-2336978-1;1-997-698-5568;623-5267;832-7000 Curabitur C.;17
PDR-172512;7;Tallulah;Le;A-84254154;RIU-9147456-4;1-805-552-0008;1-739-871-6235;Apartado núm.: 149, 3029 Ut ;13
PQR-668777;17;Genevieve;Woods;O-42774381;RIO-7239397-6;241-9702;106-6912;Apdo.:467-4373 Dignissim C/;1
PTR-664779;2;Minerva;Hubbard;A-72828649;RIi-4912525-7;1-648-672-1609;1-113-717-1631;233-8436 Erat Avda.;19
PVR-328896;14;Ralph;Nolan;A-69433688;RIO-9627538-9;382-5362;1-234-489-8540;537-1904 Erat Avenida;13
PDR-896944;21;Stuart;Carroll;U-38731539;RII-2993665-5;1-883-455-7287;136-6451;395-6462 Commodo Ctra.;14
PDR-999754;10;Ayanna;Marshall;E-47428558;RIo-2151138-5;525-0667;540-7030;1951 Cum Avenida;11
PDR-364685;13;Kai;Pollard;A-93864511;RIu-3466145-5;282-0639;1-729-535-2096;Apdo.:436-5645 Mattis. Ctra.;2
PNR-161216;12;Ulysses;Henderson;E-94921854;RIa-2667618-4;1-981-530-5995;1-571-392-7896;7254 Dui Ctra.;18
PCR-263969;16;Hammett;Dawson;A-16768871;RIe-7391766-7;287-8527;1-795-104-9744;5168 Turpis. Avenida;7
PKR-143444;4;Neville;Forbes;E-19861793;RIa-2522715-8;1-324-791-3768;773-1881;Apartado núm.: 653, 2967 Id, Av.;6
PKR-113173;22;Beverly;Frye;O-94462353;RIu-2426346-3;1-748-801-7765;657-8243;9167 Malesuada Carretera;4
PJR-796144;9;Noah;Santana;I-92529484;RII-1483311-4;770-2205;640-7814;743-9005 Scelerisque C/;5
PSR-716329;25;Quinn;Witt;E-22978646;RIa-1241857-3;1-797-608-3983;509-5297;656-6982 Ridiculus Ctra.;15
PDR-652437;10;Giacomo;Fry;I-83268986;RII-4723938-4;742-9608;1-512-370-4902;754-7134 Sit Carretera;18
PZR-924279;16;Roanna;Mosley;U-81594942;RIo-3544171-3;1-630-678-1251;737-0747;667-491 Nibh. Ctra.;16
PFR-432241;3;Stephanie;Travis;E-84216553;RIo-4335448-8;542-7976;557-5091;Apdo.:489-5296 Eget ;10
PMR-719321;11;Boris;Parsons;E-26257459;RIe-3969138-1;1-422-393-8264;807-5883;Apartado núm.: 140, 4752 Vitae, Av.;10
PZR-114747;4;Mollie;Romero;U-62344889;RIo-3185219-7;1-340-748-0213;1-938-162-8425;Apdo.:887-5980 Lorem Avda.;17
PRR-314158;8;Imelda;Kidd;E-16427996;RIU-5416381-1;1-128-651-0092;1-591-425-2917;5399 Ut, Ctra.;4
PDR-333598;6;Alden;Hubbard;E-76551227;RIE-7963821-6;573-6314;642-4452;3887 Hendrerit. ;6
PQR-274522;23;Tarik;Bauer;A-85984631;RIA-7915381-9;531-5644;691-3334;Apartado núm.: 890, 6935 Adipiscing C/;16
PJR-187922;3;Frances;Morrow;O-46152637;RIo-8354955-9;160-8013;1-489-403-2212;Apartado núm.: 353, 7263 Ligula. Carretera;16
PQR-218817;8;Maxwell;Saunders;E-81387778;RIo-1866996-3;394-3999;1-356-755-8330;Apartado núm.: 474, 7919 Integer C.;15
PZR-682511;24;Orson;Tran;A-51546539;RII-3622178-8;1-773-476-7165;627-3861;Apdo.:865-8185 Turpis Av.;16
PZR-571937;10;Carl;Meyer;V-25554441;RIF-25588444;1-555-2222-222;698-55566;tuycashjhs;14
